id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
6,a. gharbi,0.1212,0.0355,4,4,5,2,23,1.9024,2017,11.5,0.9512
10,a. mark williams,-1.0261,-0.2868,10,4,6,4,189,15.633,2017,47.25,3.9083
11,a. mosler,0.6715,-0.0778,8,3,5,2,38,3.1432,2017,19,1.5716
16,a.a. fernandes,0.0971,0.9265,13,7,14,3,60,4.9629,2017,20,1.6543
24,aaron j. coutts,-0.5414,-0.0455,1,8,12,4,196,16.212,2017,49,4.053
27,aaron m. yengo‐kahn,1.3066,0.1475,21,7,13,2,40,3.3086,2017,20,1.6543
78,adam owen,-0.3023,-0.0039,6,22,44,12,702,58.0656,2017,58.5,4.8388
86,adam weir,0.6507,-0.0901,8,3,5,2,38,3.1432,2017,19,1.5716
143,aitor iturricastillo,0.2538,-0.3277,7,5,7,2,72,5.9554,2017,36,2.9777
161,alan mccall,-0.6795,0.389,22,5,7,2,68,5.6246,2017,34,2.8123
178,alberto méndez-villanueva,0.0916,-0.3125,7,4,4,2,131,10.8356,2017,65.5,5.4178
192,alejandro rodríguez-fernández,-0.3177,0.528,3,6,12,3,83,6.8653,2017,27.6667,2.2884
199,alessandra di cagno,0.7309,0.56,25,6,12,2,80,6.6172,2017,40,3.3086
208,alessio rossi,-0.0763,0.2721,17,6,7,2,19,1.5716,2017,9.5,0.7858
236,alexandre dellal,-0.031,-0.1021,7,14,18,6,192,15.8812,2017,32,2.6469
241,alexandre moreira,-0.3893,-0.3445,1,3,5,3,25,2.0679,2017,8.3333,0.6893
288,allen k. sills,1.3044,0.1143,21,7,13,2,40,3.3086,2017,20,1.6543
299,altamiro bottino,-0.2406,0.6724,3,6,12,3,32,2.6469,2017,10.6667,0.8823
321,amelia arundale,0.4983,-0.2819,15,4,10,3,166,13.7306,2017,55.3333,4.5769
396,andreas serner,0.531,-0.0247,8,7,9,2,84,6.948,2017,42,3.474
419,andrew o’boyle,0.3755,-0.7578,11,5,14,3,113,9.3467,2017,37.6667,3.1156
422,andrew r. novak,-0.4734,-0.1669,1,6,7,2,118,9.7603,2017,59,4.8802
427,andrew w. kuhn,1.3626,0.1108,21,7,13,2,40,3.3086,2017,20,1.6543
436,andrzej szwarc,-0.2306,-0.1329,27,3,3,2,35,2.895,2017,17.5,1.4475
445,andré milheiro,-0.9078,0.0542,2,5,9,2,10,0.8271,2017,5,0.4136
447,andré pedrinelli,-0.2255,0.8675,14,4,6,3,23,1.9024,2017,7.6667,0.6341
448,andré roca,-0.8632,-0.1923,10,5,5,2,46,3.8049,2017,23,1.9024
460,andy o’boyle,0.313,-0.6509,11,7,10,2,125,10.3393,2017,62.5,5.1697
478,anis chaouachi,0.0357,0.0978,4,8,11,3,117,9.6776,2017,39,3.2259
554,antónio j. figueiredo,-0.4737,-0.2532,1,6,6,2,81,6.6999,2017,40.5,3.3499
580,aristarque djoko,1.1434,-0.061,12,6,11,3,109,9.0159,2017,36.3333,3.0053
588,arne jaspers,-0.0474,-0.4774,9,7,16,4,355,29.3636,2017,88.75,7.3409
616,asier los arcos,0.1455,-0.3175,7,2,4,4,160,13.2343,2017,40,3.3086
639,athos trecroci,-0.1223,0.2176,17,8,10,3,72,5.9554,2017,24,1.9851
701,barry drust,0.2584,-0.6859,11,15,42,11,509,42.1017,2017,46.2727,3.8274
726,ben clarsen,0.4606,-0.0174,8,6,6,2,109,9.0159,2017,54.5,4.5079
750,benno ejnisman,-0.2862,0.8194,14,7,7,2,109,9.0159,2017,54.5,4.5079
768,bert r. mandelbaum,0.4555,-0.2842,15,4,8,3,170,14.0615,2017,56.6667,4.6872
771,bessem mkaouer,0.0806,0.2966,16,6,6,2,36,2.9777,2017,18,1.4889
787,bionka m.a. huisstede,-0.0273,-0.7056,9,3,6,3,145,11.9936,2017,48.3333,3.9979
827,brian hughes,-0.2798,0.0763,6,4,12,3,332,27.4612,2017,110.6667,9.1537
853,bruno gonçalves,-0.6128,0.1661,18,7,10,4,244,20.1823,2017,61,5.0456
856,bruno manfredini baroni,-0.0694,0.5732,29,4,8,2,86,7.1134,2017,43,3.5567
857,bruno mendes,-0.3181,0.0892,6,16,29,9,676,55.915,2017,75.1111,6.2128
863,bruno silva,-0.5885,-0.0052,6,3,4,2,75,6.2036,2017,37.5,3.1018
894,c. j. bocking,-0.5154,-0.0817,1,3,6,2,40,3.3086,2017,20,1.6543
931,carlo castagna,0.3381,-0.2246,15,14,27,9,194,16.0466,2017,21.5556,1.783
945,carlos lago‐peñas,-0.1775,-0.0749,27,5,9,6,301,24.8971,2017,50.1667,4.1495
952,carlos rogério thiengo,-0.4038,-0.3238,1,3,3,2,60,4.9629,2017,30,2.4814
964,carolina franco wilke,-0.0167,0.6942,13,8,14,2,93,7.6924,2017,46.5,3.8462
1073,christina ørntoft,0.6039,0.1229,5,8,8,2,36,2.9777,2017,18,1.4889
1137,claudio andré barbosa de lira,-0.3944,0.9477,14,4,7,2,75,6.2036,2017,37.5,3.1018
1166,colin lewin,-0.6463,0.393,22,5,7,2,68,5.6246,2017,34,2.8123
1171,conall f. murtagh,0.3432,-0.7772,11,5,14,3,113,9.3467,2017,37.6667,3.1156
1184,cornelis m. i. van der linden,-0.6055,0.0108,6,3,4,2,48,3.9703,2017,24,1.9851
1189,cosme franklim buzzachera,0.2643,-0.1033,15,3,3,2,82,6.7826,2017,41,3.3913
1200,craig musham,0.2371,0.2685,4,4,7,2,19,1.5716,2017,9.5,0.7858
1204,craig whitworth‐turner,0.1751,-0.5301,7,4,8,2,45,3.7222,2017,22.5,1.8611
1206,cristian martínez‐salazar,-0.2643,0.4045,3,8,10,2,69,5.7073,2017,34.5,2.8536
1207,cristian petri,0.5839,-0.413,24,4,10,4,34,2.8123,2017,8.5,0.7031
1212,cristoforo filetti,0.0743,-0.1883,7,6,6,2,85,7.0307,2017,42.5,3.5154
1219,cândido celso coimbra,0.0052,0.7218,13,8,14,2,93,7.6924,2017,46.5,3.8462
1223,césar cavinato cal abad,-0.1886,0.703,3,6,16,5,83,6.8653,2017,16.6,1.3731
1225,césar meylan,-0.2229,0.2518,3,8,8,3,147,12.159,2017,49,4.053
1258,damien van tiggelen,-0.5492,-0.5009,28,4,10,3,240,19.8515,2017,80,6.6172
1260,dan fransson,0.4615,0.3502,5,6,9,2,63,5.211,2017,31.5,2.6055
1268,daniel barreira,-0.9202,0.1786,2,4,4,2,92,7.6097,2017,46,3.8049
1270,daniel berrar,-0.2568,-0.7613,26,3,8,3,13,1.0753,2017,4.3333,0.3584
1273,daniel castillo,0.2807,-0.3186,7,5,14,6,95,7.8579,2017,15.8333,1.3096
1290,daniel lapresa ajamil,-1.0366,0.2547,2,4,7,2,32,2.6469,2017,16,1.3234
1329,danilo gomes moreira,0.1315,0.9185,13,7,14,2,46,3.8049,2017,23,1.9024
1341,darin a. padua,1.0604,-0.0335,12,6,10,3,105,8.685,2017,35,2.895
