abstract;annotation_id;annotator;category;created_at;doi;id;keywords;lead_time;primary_topic;title;updated_at
Neurodegenerative disorders have been reported in elite athletes who participated in contact sports. The incidence of neurodegenerative disease among former professional soccer players has not been well characterized.;58;1;Medical / Injuries;2024-10-28T19:25:57.260042Z;https://doi.org/10.1056/nejmoa1908483;https://openalex.org/W2980770587;Standardized mortality ratio, Sports-related, Stroke (engine);21.194;Diagnosis and Management of Arrhythmogenic Right Ventricular Cardiomyopathy;Neurodegenerative Disease Mortality among Former Professional Soccer Players;2024-10-28T19:25:57.260061Z
"Social contact and reconciliation It has been theorized that positive intergroup relations can reduce prejudice and facilitate peace. However, supporting empirical evidence is weak, particularly in the context of real-world conflict. Mousa randomized Christian Iraqi refugees to soccer teams that were composed of either all Christian players or a mixture of Christian and Muslim players (see the Perspective by Paluck and Clark). Playing on the same team as Muslims had positive effects on Christian players' attitudes and behaviors toward Muslims within the context of soccer, but these effects did not generalize to non-soccer contexts. These findings have implications for the potential benefits and limits of positive intergroup contact for achieving peace between groups. Science , this issue p. 866 ; see also p. 769";59;1;Other;2024-10-28T19:27:24.189521Z;https://doi.org/10.1126/science.abb3153;https://openalex.org/W3048816861;Group cohesiveness, Prejudice (legal term), Cohesion (chemistry), Intergroup Contact, Contact hypothesis, Empirical evidence;86.783;Intergroup Relations and Social Identity Theories;Building social cohesion between Christians and Muslims through soccer in post-ISIS Iraq;2024-10-28T19:27:24.189542Z
Abstract Soccer analytics is attracting increasing interest in academia and industry, thanks to the availability of sensing technologies that provide high-fidelity data streams for every match. Unfortunately, these detailed data are owned by specialized companies and hence are rarely publicly available for scientific research. To fill this gap, this paper describes the largest open collection of soccer-logs ever released, containing all the spatio-temporal events (passes, shots, fouls, etc.) that occured during each match for an entire season of seven prominent soccer competitions. Each match event contains information about its position, time, outcome, player and characteristics. The nature of team sports like soccer, halfway between the abstraction of a game and the reality of complex social systems, combined with the unique size and composition of this dataset, provide an ideal ground for tackling a wide range of data science problems, including the measurement and evaluation of performance, both at individual and at collective level, and the determinants of success and failure.;60;1;Innovative Technologies;2024-10-28T19:30:38.813007Z;https://doi.org/10.1038/s41597-019-0247-7;https://openalex.org/W2981841290;Abstraction, Spatial Analysis, Sports science;194.521;Economics of Professional Sports and Prediction Markets;A public data set of spatio-temporal match events in soccer competitions;2024-10-28T19:30:38.813028Z
"Talent identification research in soccer comprises the prediction of elite soccer performance. While many studies in this field have aimed to empirically relate performance characteristics to subsequent soccer success, a critical evaluation of the methodology of these studies has mostly been absent in the literature. In this position paper, we discuss advantages and limitations of the design, validity, and utility of current soccer talent identification research. Specifically, we draw on principles from selection psychology that can contribute to best practices in the context of making selection decisions across domains. Based on an extensive search of the soccer literature, we identify four methodological issues from this framework that are relevant for talent identification research, i.e. (1) the operationalization of criterion variables (the performance to be predicted) as performance levels; (2) the focus on isolated performance indicators as predictors of soccer performance; (3) the effects of range restriction on the predictive validity of predictors used in talent identification; and (4) the effect of the base rate on the utility of talent identification procedures. Based on these four issues, we highlight opportunities and challenges for future soccer talent identification studies that may contribute to developing evidence-based selection procedures. We suggest for future research to consider the use of individual soccer criterion measures, to adopt representative, high-fidelity predictors of soccer performance, and to take restriction of range and the base rate into account.";61;1;Other;2024-10-28T19:32:40.096967Z;https://doi.org/10.1007/s40279-019-01113-w;https://openalex.org/W2945185040;Identification (biology), Coaching Effectiveness, Sport Psychology, Soccer Performance;121.172;Economics of Professional Sports and Prediction Markets;Methodological Issues in Soccer Talent Identification Research;2024-10-28T19:32:40.096986Z
Abstract The aim of this study was to analyse the effect of mental fatigue on passing decision‐making in professional soccer athletes. A controlled and counterbalanced cross‐over design was adopted consisting of three visits with a 1‐week interval between sessions. Twenty professional soccer male athletes participated in three randomized conditions divided into three visits: control, 15‐min Stroop task, and 30‐min Stroop task. Inhibitory control was accessed by the Stroop task (accuracy and response time) before and after induced mental fatigue protocol. The athletes played a training match (90‐min) following the experimental conditions. The Game Performance Assessment Instrument (GPAI) was used for the passing decision‐making analysis. The GPAI analysis showed impaired passing decision‐making performance following the 30‐min Stroop task compared with the 15‐min and control condition ( F (2,17) = 6.99, p = .01). Moreover, an increase in response time during the Stroop task was found following 30‐min Stroop task condition ( F (2,17) = 6.57, p = .03) compared to 15‐min of Stroop task and control conditions. Prolonged cognitive tasks may be considered a mediating factor in passing decision‐making performance in male professional soccer athletes throughout a full‐length training match. Thus, athletes should avoid highly demanding‐cognitive tasks before a soccer match. Future studies are required to explore more ecological cognitive tasks to induce mental fatigue (i.e. smartphones and video‐games) and their effects on other performance indicators (e.g. physical, technical, tactical) in a full‐length training match setting.;62;1;Psychology;2024-10-28T19:33:02.369019Z;https://doi.org/10.1080/17461391.2019.1656781;https://openalex.org/W2969965784;Stroop effect, Soccer Performance, Training Load, Performance Analysis, Athlete Monitoring, Exercise Motivation, Mental fatigue, Elementary cognitive task;22.16;Sports Science and Performance Analysis;Effects of mental fatigue on passing decision-making performance in professional soccer athletes;2024-10-28T19:33:02.369041Z
"Abstract Bishop, C, Read, P, McCubbine, J, and Turner, A. Vertical and horizontal asymmetries are related to slower sprinting and jump performance in elite youth female soccer players. J Strength Cond Res 35(1): 56–63, 2021—Interlimb asymmetries have been shown to be greater during vertical jumping compared with horizontal jumping. Notable interlimb differences have also been established at an early age in male youth soccer players. Furthermore, given the multiplanar nature of soccer, establishing between-limb differences from multiple jump tests is warranted. At present, a paucity of data exists regarding asymmetries in youth female soccer players and their effects on physical performance. The aims of this study were to quantify interlimb asymmetries from unilateral jump tests and examine their effects on speed and jump performance. Nineteen elite youth female soccer players performed a single-leg countermovement jump (SLCMJ), single, triple, and crossover hops for distance, and a 20-m sprint test. Test reliability was good to excellent (intraclass correlation coefficient = 0.81–0.99) and variability acceptable (coefficient of variation = 1.74–5.42%). A 1-way analysis of variance highlighted larger asymmetries from the SLCMJ compared with all other jump tests ( p &lt; 0.05). Pearson's correlations portrayed significant relationships between vertical asymmetries from the SLCMJ and slower sprint times ( r = 0.49–0.59). Significant negative relationships were also found between horizontal asymmetries during the triple hop test and horizontal jump performance ( r = −0.47 to −0.58) and vertical asymmetries during the SLCMJ and vertical jump performance ( r = −0.47 to −0.53). The results from this study highlight that the SLCMJ seems to be the most appropriate jump test for identifying between-limb differences with values ∼12% showing negative associations with sprint times. Furthermore, larger asymmetries are associated with reduced jump performance and would appear to be direction specific. Practitioners can use this information as normative data to be mindful of when quantifying interlimb asymmetries and assessing their potential impact on physical performance in youth female soccer players.";63;1;Physical Attributes;2024-10-28T19:33:10.424281Z;https://doi.org/10.1519/jsc.0000000000002544;https://openalex.org/W2788635959;Sprint, Vertical jump, Athlete Monitoring, Youth Athletes, Soccer Performance, Athlete Development, Youth Sport Specialization;7.85;Sports Science and Performance Analysis;Vertical and Horizontal Asymmetries Are Related to Slower Sprinting and Jump Performance in Elite Youth Female Soccer Players;2024-10-28T19:33:10.424294Z
"ENWEndNote BIBJabRef, Mendeley RISPapers, Reference Manager, RefWorks, Zotero AMA Weldon A, Duncan M, Turner A, et al. Contemporary practices of strength and conditioning coaches in professional soccer. Biology of Sport. 2021;38(3):377-390. doi:10.5114/biolsport.2021.99328. APA Weldon, A., Duncan, M., Turner, A., Sampaio, J., Noon, M., & Wong, D. et al. (2021). Contemporary practices of strength and conditioning coaches in professional soccer. Biology of Sport, 38(3), 377-390. https://doi.org/10.5114/biolsport.2021.99328 Chicago Weldon, Anthony, Michael J. Duncan, Anthony Turner, Jaime Sampaio, Mark Noon, Del P Wong, and Vivian W. Lai. 2021. ""Contemporary practices of strength and conditioning coaches in professional soccer"". Biology of Sport 38 (3): 377-390. doi:10.5114/biolsport.2021.99328. Harvard Weldon, A., Duncan, M., Turner, A., Sampaio, J., Noon, M., Wong, D., and Lai, V. (2021). Contemporary practices of strength and conditioning coaches in professional soccer. Biology of Sport, 38(3), pp.377-390. https://doi.org/10.5114/biolsport.2021.99328 MLA Weldon, Anthony et al. ""Contemporary practices of strength and conditioning coaches in professional soccer."" Biology of Sport, vol. 38, no. 3, 2021, pp. 377-390. doi:10.5114/biolsport.2021.99328. Vancouver Weldon A, Duncan M, Turner A, Sampaio J, Noon M, Wong D et al. Contemporary practices of strength and conditioning coaches in professional soccer. Biology of Sport. 2021;38(3):377-390. doi:10.5114/biolsport.2021.99328.";64;1;Physical Attributes;2024-10-28T19:33:15.725504Z;https://doi.org/10.5114/biolsport.2021.99328;https://openalex.org/W3090517907;Noon, Coaching Effectiveness, Training Load, Sport Psychology;5.214;Sports Science and Performance Analysis;Contemporary practices of strength and conditioning coaches in professional soccer;2024-10-28T19:33:15.725529Z
"Running performance (RP) and game performance indicators (GPI) are important determinants of success in soccer (football), but there is an evident lack of knowledge about the possible associations between RP and GPI. This study aimed to identify associations between RP and GPI in professional soccer players and to compare RP and GPI among soccer playing positions. One hundred one match performances were observed over the course of half of a season at the highest level of national competition in Croatia. Players (mean ± SD, age: 23.85 ± 2.88 years; body height: 183.05 ± 8.88 cm; body mass: 78.69 ± 7.17 kg) were classified into five playing positions (central defenders (n = 26), full-backs (n = 24), central midfielders (n = 33), wide midfielders (n = 10), and forwards (n = 8). RP, as measured by global positioning system, included the total distance covered, distance covered in five speed categories (walking, jogging, running, high-speed running, and maximal sprinting), total number of accelerations, number of high-intensity accelerations, total number of decelerations, and number of high-intensity decelerations. The GPI were collected by the position-specific performance statistics index (InStat index). The average total distance was 10,298.4 ± 928.7 m, with central defenders having the shortest and central midfielders having the greatest covered distances. The running (r = 0.419, p = 0.03) and high-intensity accelerations (r = 0.493, p = 0.01) were correlated with the InStat index for central defenders. The number of decelerations of full-backs (r = -0.43, p = 0.04) and the distance covered during sprinting of forwards (r = 0.80, p = 0.02) were associated with their GPI obtained by InStat index. The specific correlations between RP and GPI should be considered during the conditioning process in soccer. The soccer training should follow the specific requirements of the playing positions established herein, which will allow players to meet the game demands and to perform successfully.";65;1;Physical Attributes;2024-10-28T19:33:31.750775Z;https://doi.org/10.3390/ijerph16204032;https://openalex.org/W2980810229;Soccer Performance, Performance Analysis, Sport Psychology, Athlete Monitoring, Football players, Match play;15.916;Sports Science and Performance Analysis;Analysis of the Association between Running Performance and Game Performance Indicators in Professional Soccer Players;2024-10-28T19:33:31.750795Z
Elite soccer teams that participate in European competitions need to have players in the best physical and psychological status possible to play matches. As a consequence of congestive schedule, controlling the training load (TL) and thus the level of effort and fatigue of players to reach higher performances during the matches is therefore critical. Therefore, the aim of the current study was to provide the first report of seasonal internal and external training load that included Hooper Index (HI) scores in elite soccer players during an in-season period. Nineteen elite soccer players were sampled, using global position system to collect total distance, high-speed distance (HSD) and average speed (AvS). It was also collected session rating of perceived exertion (s-RPE) and HI scores during the daily training sessions throughout the 2015–2016 in-season period. Data were analysed across ten mesocycles (M: 1 to 10) and collected according to the number of days prior to a one-match week. Total daily distance covered was higher at the start (M1 and M3) compared to the final mesocycle (M10) of the season. M1 (5589m) reached a greater distance than M5 (4473m) (ES = 9.33 [12.70, 5.95]) and M10 (4545m) (ES = 9.84 [13.39, 6.29]). M3 (5691m) reached a greater distance than M5 (ES = 9.07 [12.36, 5.78]), M7 (ES = 6.13 [8.48, 3.79]) and M10 (ES = 9.37 [12.76, 5.98]). High-speed running distance was greater in M1 (227m), than M5 (92m) (ES = 27.95 [37.68, 18.22]) and M10 (138m) (ES = 8.46 [11.55, 5.37]). Interestingly, the s-RPE response was higher in M1 (331au) in comparison to the last mesocycle (M10, 239au). HI showed minor variations across mesocycles and in days prior to the match. Every day prior to a match, all internal and external TL variables expressed significant lower values to other days prior to a match (p<0.01). In general, there were no differences between player positions. Conclusions: Our results reveal that despite the existence of some significant differences between mesocycles, there were minor changes across the in-season period for the internal and external TL variables used. Furthermore, it was observed that MD-1 presented a reduction of external TL (regardless of mesocycle) while internal TL variables did not have the same record during in-season match-day-minus.;66;1;Psychology;2024-10-28T19:34:14.760659Z;https://doi.org/10.1371/journal.pone.0209393;https://openalex.org/W2949122094;Training Load, Elite, High-Intensity Interval Training, Athlete Monitoring, Soccer Performance, Perceived exertion, Team sport, Performance Analysis;42.898;Sports Science and Performance Analysis;In-season internal and external training load quantification of an elite European soccer team;2024-10-28T19:34:14.760681Z
The aim of this study was to examine how the introduction of the VAR system influenced the play in elite soccer. The sample consists of 1024 matches played in the Italian Serie A and the German Bundesliga league during the seasons before and after the implementation of the VAR system. The following variables were recorded for each match: Fouls, Goals, Offsides, Penalties, Playing time in the first half, Playing time in the second half, Total Playing time, Red cards and Yellow cards. Match statistics were retrieved from the website of “Whoscored” (www.whoscored.com). A generalized linear model and a pairwise z-tests were used to compare seasons before and after the implementation of the VAR. There was a decrease in the number of offsides, fouls and yellow cards after the implementation of the VAR. Meanwhile, there was an increase in the number of minutes added to the playing time in the first half and the full game, but not in the second half. These findings may help coaches, players and managers to better understand the effects of the VAR system on professional soccer and to identify strategies to improve refereeing during matches.;67;1;Innovative Technologies;2024-10-28T19:34:18.787948Z;https://doi.org/10.1080/24748668.2019.1646521;https://openalex.org/W2964034544;Elite, Referee Bias, Soccer Performance, Sample (material);3.916;Economics of Professional Sports and Prediction Markets;How does Video Assistant Referee (VAR) modify the game in elite soccer?;2024-10-28T19:34:18.787969Z
