abstract;annotation_id;annotator;category;created_at;doi;id;keywords;lead_time;primary_topic;title;updated_at
"Fundamental motor skills (FMS) are the basic building blocks of more complex, sport-specific skills and should be mastered at the end of early childhood; however, the relationship between the two has not yet been verified in prepubertal soccer players. Therefore, the aim of this study was to determine the role of FMS in a process of acquiring soccer-specific motor skills (measured using the speed dribbling) with regard to physical fitness and biological maturation. Forty soccer players (11.5 ± 0.3 years of age) at the highest performance level participated in the study. The role of FMS in a complex theoretical model with the relationships among physical fitness, biological maturation and speed dribbling was analyzed by multiple regression path analyses (MRPA). Moderate-to-strong correlations were found between FMS, physical fitness, and speed dribbling (r = 0.56 – 0.66). Moreover, biological maturation did not appear to be a significant predictor of physical fitness or speed dribbling. The MRPA model of physical fitness on speed dribbling with FMS as a mediator showed a significant indirect effect (standard estimation = -0.31, p = 0.001; R2 = 0.25). However, the direct correlation between physical fitness and speed dribbling was nonsignificant. Our results showed that FMS significantly strengthened the influence of physical fitness on the performance of speed dribbling, a soccer-specific motor skill, and thus played an important role in the process of the acquisition of sport-specific motor skills in prepubertal soccer players. Therefore, when considering the long-term training process, especially during childhood and before puberty, a wide range of FMS activities should be applied for better and possibly faster acquisition of soccer-specific motor skills.";1;1;Physical Attributes;2024-10-28T15:29:24.422755Z;https://doi.org/10.3389/fphys.2019.00596;https://openalex.org/W2947570925;Childhood Motor Skills, Fine Motor Skills, Motor Skill Competence, Soccer Performance, Body Communication Skills;314.235;Developmental Perspective on Motor Skill Competence;Fundamental Motor Skills Mediate the Relationship Between Physical Fitness and Soccer-Specific Motor Skills in Young Soccer Players;2024-10-28T15:29:24.422775Z
"Objectives To evaluate the restart of the German Bundesliga (football (soccer)) during the COVID-19 pandemic from a medical perspective. Methods Participants were male professional football players from the two highest German leagues and the officials working closely with them. Our report covers nine match days spread over 9 weeks (May to July 2020). Daily symptom monitoring, PCR testing for SARS-CoV-2 RNA twice weekly, and antibody tests (on two occasions—early during the phase in May 2020 and in the week of the last match) were conducted. Target variables were: (1) onset of typical COVID-19 symptoms, (2) positive PCR results, and (3) IgG seroconversion against SARS-CoV-2. All detected seroconversions were controlled by neutralisation tests. Findings Suspicious symptoms were reported for one player; an immediate additional PCR test as well as all subsequent diagnostic and antibody tests proved negative for coronavirus. Of 1702 regularly tested individuals (1079 players, 623 officials members), 8 players and 4 officials tested positive during one of the first rounds of PCR testing prior to the onset of team training, 2 players during the third round. No further positive results occurred during the remainder of the season. 694 players and 291 officials provided two serum samples for antibody testing. Nine players converted from negative/borderline to positive (without symptoms); two players who initially tested positive tested negative at the end of the season. 22 players remained seropositive throughout the season. None of the seroconversions was confirmed in the neutralisation test. Conclusion Professional football training and matches can be carried out safely during the COVID-19 pandemic. This requires strict hygiene measures including regular PCR testing.";2;1;Medical / Injuries;2024-10-28T15:33:20.476319Z;https://doi.org/10.1136/bjsports-2020-103150;https://openalex.org/W3087869109;Seroconversion, Football players, Football (Soccer);235.858;Diagnosis and Management of Arrhythmogenic Right Ventricular Cardiomyopathy;Successful return to professional men’s football (soccer) competition after the COVID-19 shutdown: a cohort study in the German Bundesliga;2024-10-28T15:33:20.476347Z
The objective of this study was to analyse the effect of the use of social networks in smartphones or playing video games on the passing decision-making performance in professional soccer athletes. Participants were 25 male professional soccer athletes (mean ± SD: age 23.4 ± 2.8 years). The participants performed three randomised conditions divided into three groups: control (CON), smartphone (SMA), and video game (VID). Before and after each experimental condition, the Stroop Task assessed the level of induced mental fatigue. Then, the athletes performed a simulated soccer match. A CANON® camera recorded the matches for further analysis on passing decision-making performance. A group effect was identified (p < .01) with impairment on passing decision-making performance for the SMA (p = .01, ES = 0.5) and VID (p = .01, ES = 0.5) conditions. We concluded that the use of social networks on smartphones and/or playing video games right before official soccer matches might impair the passing decision-making performance in professional soccer athletes.;3;1;Psychology;2024-10-28T15:33:52.198931Z;https://doi.org/10.1080/02640414.2020.1715181;https://openalex.org/W2999600067;Stroop effect, Soccer Performance, Athlete Monitoring, Training Load, Crossover study;31.533;Sports Science and Performance Analysis;The effect of smartphones and playing video games on decision-making in soccer players: A crossover and randomised study;2024-10-28T15:33:52.198945Z
"Abstract Current studies have reported high accuracy in global positioning system (GPS) and recently developed ultra‐wideband (UWB)‐based tracking systems for monitoring time – motion patterns. The accuracy and reliability of both systems may be different in tactical analysis application, an aspect that has never been studied previously. The aims of the present study were: (i) to determine and compare the accuracy of GPS and UWB technologies in soccer players’ positions (ii) to compare the tactical application of both systems. Following institutional ethical approval and familiarisation, 14 well‐trained soccer players performed tests around five courses: (a) field perimeter, (b) halfway line, (c) centre circle, (d) perimeter of the penalty area, and (e) semicircle penalty area. Also, a small‐sided game was played monitored with WIMUPRO™ to determine real and practical differences in accuracy of both systems in tactical analysis. For the GPS, the mean absolute error ( N = 9445) of “ x ” and “ y ” coordinates was 41.23 ± 17.31 cm and 47.6 ± 8.97 cm, respectively. For UWB, it was 9.57 ± 2.66 cm and 7.15 ± 2.62 cm. The results of the “ x ” and “ y ” accuracy comparison were significantly lower in all cases ( p &lt; 0.05) with an ES of 0.78 and 0.95, respectively. In a real practical application, the differences of both systems reached 8.31% in typical tactical variables (ES = 0.11). In contrast to GPS‐10Hz, UWB WIMUPRO™‐20 Hz has been demonstrated to be an acceptable technology to estimate the position of players on the pitch with high accuracy and be a useful, automatic, and portable instrument for tactical analysis measurement.";4;1;Tactics analysis;2024-10-28T20:34:40.838615Z;https://doi.org/10.1080/17461391.2019.1584248;https://openalex.org/W2930159046;Perimeter, Athlete Monitoring, Tracking (education), Position (finance), Tracking system;11.916;Sports Science and Performance Analysis;Comparing accuracy between global positioning systems and ultra-wideband-based position tracking systems used for tactical analyses in soccer;2024-10-28T20:34:40.838641Z
"ENWEndNote BIBJabRef, Mendeley RISPapers, Reference Manager, RefWorks, Zotero AMA Oliva-Lozano J, Rojas-Valverde D, Gómez-Carmona C, Fortes V, Pino-Ortega J. Worst case scenario match analysis and contextual variables in professional soccer players: a longitudinal study. Biology of Sport. 2020;37(4):429-436. doi:10.5114/biolsport.2020.97067. APA Oliva-Lozano, J., Rojas-Valverde, D., Gómez-Carmona, C., Fortes, V., & Pino-Ortega, J. (2020). Worst case scenario match analysis and contextual variables in professional soccer players: a longitudinal study. Biology of Sport, 37(4), 429-436. https://doi.org/10.5114/biolsport.2020.97067 Chicago Oliva-Lozano, José M., Daniel Rojas-Valverde, Carlos D. Gómez-Carmona, Víctor Fortes, and José Pino-Ortega. 2020. ""Worst case scenario match analysis and contextual variables in professional soccer players: a longitudinal study"". Biology of Sport 37 (4): 429-436. doi:10.5114/biolsport.2020.97067. Harvard Oliva-Lozano, J., Rojas-Valverde, D., Gómez-Carmona, C., Fortes, V., and Pino-Ortega, J. (2020). Worst case scenario match analysis and contextual variables in professional soccer players: a longitudinal study. Biology of Sport, 37(4), pp.429-436. https://doi.org/10.5114/biolsport.2020.97067 MLA Oliva-Lozano, José M. et al. ""Worst case scenario match analysis and contextual variables in professional soccer players: a longitudinal study."" Biology of Sport, vol. 37, no. 4, 2020, pp. 429-436. doi:10.5114/biolsport.2020.97067. Vancouver Oliva-Lozano J, Rojas-Valverde D, Gómez-Carmona C, Fortes V, Pino-Ortega J. Worst case scenario match analysis and contextual variables in professional soccer players: a longitudinal study. Biology of Sport. 2020;37(4):429-436. doi:10.5114/biolsport.2020.97067.";5;1;Physical Attributes;2024-10-28T20:35:27.596041Z;https://doi.org/10.5114/biolsport.2020.97067;https://openalex.org/W3044630540;Longitudinal study, Athlete Monitoring, Performance Analysis, Longitudinal data;46.623;Sports Science and Performance Analysis;Worst case scenario match analysis and contextual variables in professional soccer players: a longitudinal study;2024-10-28T20:35:27.596056Z
"Studies that examine the effects of inter-limb asymmetry on measures of physical performance are scarce, especially in adult female populations. The aim of the present study was to establish the relationship between inter-limb asymmetry and speed and change-of-direction speed (CODS) in adult female soccer players. Sixteen adult players performed a preseason test battery consisting of unilateral countermovement jump (CMJ), unilateral drop jump (DJ), 10 m, 30 m, and 505 CODS tests. Inter-limb asymmetry was calculated using a standard percentage difference equation for jump and CODS tests, and Pearson’s r correlations were used to establish a relationship between asymmetry and physical performance as well as asymmetry scores themselves across tests. Jump-height asymmetry from the CMJ (8.65%) and DJ (9.16%) tests were significantly greater (p &lt; 0.05) than asymmetry during the 505 test (2.39%). CMJ-height asymmetry showed no association with speed or CODS. However, DJ asymmetries were significantly associated with slower 10 m (r = 0.52; p &lt; 0.05), 30 m (r = 0.58; p &lt; 0.05), and 505 (r = 0.52–0.66; p &lt; 0.05) performance. No significant relationships were present between asymmetry scores across tests. These findings suggest that the DJ is a useful test for detecting existent between-limb asymmetry that might in turn be detrimental to speed and CODS performance. Furthermore, the lack of relationships present between different asymmetry scores indicates the individual nature of asymmetry and precludes the use of a single test for the assessment of inter-limb differences.";6;1;Physical Attributes;2024-10-28T20:35:44.801810Z;https://doi.org/10.3390/sports7010029;https://openalex.org/W2912679289;Sprint, Fluctuating asymmetry, Soccer Performance, Athlete Monitoring, Vertical jump;17.054;Sports Science and Performance Analysis;Drop Jump Asymmetry is Associated with Reduced Sprint and Change-of-Direction Speed Performance in Adult Female Soccer Players;2024-10-28T20:35:44.801823Z
"The burden of anterior cruciate ligament (ACL) injury in professional soccer players is particularly relevant as it represents a potentially career-threatening injury.Our hypotheses were that (1) injury incidence rate would be similar to that reported in the literature, (2) we would identify a uniform distribution of the injuries along the season, and (3) injury incidence rate would be similar in high-ranked and lower ranked teams, based on final placement in the league.Descriptive epidemiological study.Level 4.Professional male soccer players participating in the Serie A championship league in 7 consecutive seasons (2011-2012 to 2017-2018) were screened to identify ACL injuries through the online football archive transfermarkt.com . Exposure in matches and training were calculated.There were 84 ACL injuries found (mean player age, 25.3 ± 4.2 years). Overall, 25% of ACL injuries were reruptures (15%) or contralateral injuries (10%). ACL incidence rate was 0.4215 per 1000 hours of play during Serie A matches, 0.0305 per 1000 hours of training (rate ratio [RR], 13.8; 95% CI, 8.4-22.7; P < 0.0001), and 0.0618 per 1000 hours of total play. Injury distribution had a bimodal peak, with the highest number of events in October and March. Alternatively, training injuries peaked in June and July. A significantly higher incidence rate was found for the teams ranked from 1st to 4th place compared with those ranked 5th to 20th (0.1256 vs 0.0559 per 1000 hours of play; RR, 2.2; 95% CI, 1.4-3.6; P = 0.0003). A similar finding was found for injury incidence proportion (3.76% vs 1.64%; P = 0.0003).The overall incidence rate of ACL injuries in Italian Serie A was 0.062 per 1000 hours, with a 14-fold risk in matches compared with training. Relevantly, 25% were second injuries. Most injuries occurred in October and March, and an almost 2-fold incidence rate and incidence proportion were noted in those teams ranked in the first 4 positions of the championship league.Knowing the precise epidemiology of ACL injury in one of the most competitive professional football championship leagues could help delineate fields of research aimed to investigate its risk factors.";7;1;Medical / Injuries;2024-10-28T20:35:49.383366Z;https://doi.org/10.1177/1941738119885642;https://openalex.org/W2991833779;ACL injury, Anterior Cruciate Ligament, Injury Risk, Rate ratio, Sports Injury, Sports medicine;4.463;Anterior Cruciate Ligament Injuries in Athletes;Epidemiology of Anterior Cruciate Ligament Injury in Italian First Division Soccer Players;2024-10-28T20:35:49.383394Z
"This study examined the age-specific development of vertical jump height, straight and change-of-direction (COD) speed, and COD deficit in one-hundred and eighty-two elite soccer players from different age-categories (U15, U17, U20, and Senior). All participants were players of two distinct clubs and were undertaking different training routines, as planned by their technical staff members. For this purpose, the soccer players performed: (1) squat and countermovement jumps; (2) a maximal 20-m linear sprint speed test, and (3) the Zigzag COD test. The magnitude-based inference approach and standardized differences were used to compare the age-groups. Sprint speed at longer distances (20-m) increased progressively across the age-ranges. In contrast, speed and acceleration performances at shorter distances (5-m) were better in U15 than in the other age-categories. The COD speed did not change throughout the younger categories but presented a meaningful decrease in the Senior category. Surprisingly, despite the progressive increase in volume and intensity of neuromuscular training from younger to older categories, the COD deficit presented a gradual increase across the age-groups. It is possible that simple modulation of the strength-power training program during the maturation process is not sufficient to produce faster adult players with enhanced ability to change direction. Therefore, coaches are strongly encouraged to implement specific COD training practices to tolerate braking at increasing running speeds and appropriate volume and intensity of soccer specific training throughout the players’ specialization process.";8;1;Physical Attributes;2024-10-28T20:35:56.155606Z;https://doi.org/10.1080/02640414.2019.1574276;https://openalex.org/W2914115112;Vertical jump, Soccer Performance, Athlete Monitoring, Club Head Speed;6.655;Sports Science and Performance Analysis;Change-of-direction, speed and jump performance in soccer players: a comparison across different age-categories;2024-10-28T20:35:56.155658Z
Introduction There is growing recognition of an association between contact sports participation and increased risk of neurodegenerative disease, including Alzheimer’s disease and chronic traumatic encephalopathy. In addition to cognitive impairment, a range of mental health disorders and suicidality are proposed as diagnostic features of traumatic encephalopathy syndrome, the putative clinical syndrome associated with chronic traumatic encephalopathy. However, to date, epidemiological data on contact sport participation and mental health outcomes are limited. Methods For a cohort of former professional soccer players (n=7676) with known high neurodegenerative mortality and their matched general population controls (n=23 028), data on mental health outcomes were obtained by individual-level record linkage to national electronic records of hospital admissions and death certification. Results Compared with matched population controls, former professional soccer players showed lower risk of hospital admission for anxiety and stress related disorders, depression, drug use disorders, alcohol use disorders and bipolar and affective mood disorders. Among soccer players, there was no significant difference in risk of hospitalisation for mental health disorders between outfield players and goalkeepers. There was no significant difference in rate of death by suicide between soccer players and controls. Conclusions Among a population of former professional soccer players with known high neurodegenerative disease mortality, hospital admissions for common mental health disorders were lower than population controls, with no difference in suicide. Our data provide support for the reappraisal of currently proposed diagnostic clinical criteria for traumatic encephalopathy syndrome, in particular the inclusion of mental health outcomes.;9;1;Psychology;2024-10-28T20:36:00.167523Z;https://doi.org/10.1136/jnnp-2020-323315;https://openalex.org/W3044790934;Chronic traumatic encephalopathy, Sports-related, Depression (economics);3.893;Epidemiology and Impact of Traumatic Brain Injury;Mental health and suicide in former professional soccer players;2024-10-28T20:36:00.167546Z
"Due to the negative effects that injuries have on performance, club finances, and long-term player health (permanent disability after a severe injury), prevention strategies are an essential part of both sports medicine and performance. Purpose: To summarize the current evidence regarding strength training for injury prevention in soccer and to inform its evidence-based implementation in research and applied settings. Conclusions: The contemporary literature suggests that strength training, proposed as traditional resistance, eccentric, and flywheel training, may be a valid method to reduce injury risk in soccer players. Training strategies involving multiple components (eg, a combination of strength, balance, plyometrics) that include strength exercises are effective at reducing noncontact injuries in female soccer players. In addition, the body of research currently published supports the use of eccentric training in sports, which offers unique physiological responses compared with other resistance exercise modalities. It seems that the Nordic hamstring exercise, in particular, is a viable option for the reduction of hamstring injuries in soccer players. Moreover, flywheel training has specific training peculiarities and advantages that are related to the combination of both concentric and eccentric contraction, which may play an important role in injury prevention. It is the authors' opinion that strength and conditioning coaches should integrate the strength training methods proposed here in their weekly training routine to reduce the likelihood of injuries in their players; however, further research is needed to verify the advantages and disadvantages of these training methods to injury prevention using specific cohorts of soccer players.";10;1;Physical Attributes;2024-10-28T20:36:10.096491Z;https://doi.org/10.1123/ijspp.2020-0862;https://openalex.org/W3119196131;Plyometrics, Eccentric training, Strength training, Modalities, Training Load, Soccer Performance, Sports medicine, Sports Injury, Injury Prevention, Athletic training, Match play, Hamstring injury;9.809;Epidemiology of Sports-Related Musculoskeletal Injuries;Implementing Strength Training Strategies for Injury Prevention in Soccer: Scientific Rationale and Methodological Recommendations;2024-10-28T20:36:10.096518Z
